date,format,startTime,endTime,sessionName,sessionLongName,sessionNumber,sessionTracks,paperID,paperTitle,paperAuthors
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,1130, Grounded Compositional Outputs for Adaptive Language Modeling ,"Nikolaos Pappas, Phoebe Mulcaire and Noah A. Smith"
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,1458, SSMBA: Self-Supervised Manifold Based Data Augmentation for Improving Out-of-Domain Robustness ,"Nathan Ng, Kyunghyun Cho and Marzyeh Ghassemi"
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,1575, SetConv: A New Approach for Learning from Imbalanced Data ,"Yang Gao, Yi-Fan Li, Yu Lin, Charu Aggarwal and Latifur Khan"
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,1648, Scalable Multi-Hop Relational Reasoning for Knowledge-Aware Question Answering ,"Yanlin Feng, Xinyue Chen, Bill Yuchen Lin, Peifeng Wang, Jun Yan and Xiang Ren"
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,2818, Improving Bilingual Lexicon Induction for Low Frequency Words ,"Jiaji Huang, Xingyu Cai and Kenneth Church"
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,2865, Learning VAE-LDA Models with Rounded Reparameterization Trick ,"Runzhi Tian, Yongyi Mao and Richong Zhang"
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,2959, Calibrated Language Model Fine-Tuning for In- and Out-of-Distribution Data ,"Lingkai Kong, Haoming Jiang, Yuchen Zhuang, Jie Lyu, Tuo Zhao and Chao Zhang"
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,3272, Scaling Hidden Markov Language Models ,Justin Chiu and Alexander Rush
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,3391, Coding Textual Inputs Boosts the Accuracy of Neural Networks ,"Abdul Rafae Khan, Jia Xu and Weiwei Sun"
2020-11-16,gather,22:00,00:00,Gather Session 1B,Gather Session 1B: Machine Learning for NLP,1B,Machine Learning for NLP,3470, Learning from Task Descriptions ,"Orion Weller, Nicholas Lourie, Matt Gardner and Matthew Peters"
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1832, Latent Geographical Factors for Analyzing the Evolution of Dialects in Contact ,Yugo Murawaki
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",2638, Predicting Reference: What do Language Models Learn about Discourse Models? ,"Shiva Upadhye, Leon Bergen and Andrew Kehler"
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",820, Word class flexibility: A deep contextualized approach ,"Bai Li, Guillaume Thomas, Yang Xu and Frank Rudzicz"
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1275, Benchmarking Meaning Representations in Neural Semantic Parsing ,"Jiaqi Guo, Qian Liu, Jian-Guang LOU, Zhenwen Li, Xueqing Liu, Tao Xie and Ting Liu"
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1421, Analogous Process Structure Induction for Sub-event Sequence Prediction ,"Hongming Zhang, Muhao Chen, Haoyu Wang, Yangqiu Song and Dan Roth"
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1892, SLM: Learning a Discourse Language Representation with Sentence Unshuffling ,"Haejun Lee, Drew A. Hudson, Kangwook Lee and Christopher D. Manning"
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",2553, Detecting Fine-Grained Cross-Lingual Semantic Divergences without Supervision by Learning to Rank ,Eleftheria Briakou and Marine Carpuat
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",3358, A Bilingual Generative Transformer for Semantic Sentence Embedding ,"John Wieting, Graham Neubig and Taylor Berg-Kirkpatrick"
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",357, Semantically Inspired AMR Alignment for the Portuguese Language ,Rafael AnchiГЄta and Thiago Pardo
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",3609, An Unsupervised Sentence Embedding Method by Mutual Information Maximization ,"Yan Zhang, Ruidan He, ZUOZHU LIU, Kwan Hui Lim and Lidong Bing"
2020-11-16,gather,22:00,00:00,Gather Session 1C,"Gather Session 1C: Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",1C,"Linguistic Theories, Cognitive Modeling and Psycholinguistics; Semantics: Sentence-level Semantics, Textual Inference and Other areas",754, Compositional Phrase Alignment and Beyond ,Yuki Arase and Jun'ichi Tsujii
2020-11-16,gather,22:00,00:00,Gather Session 1D,Gather Session 1D: Information Extraction,1D,Information Extraction,1086, Table Fact Verification with Structure-Aware Transformer ,"Hongzhi Zhang, Yingyao Wang, Sirui Wang, Xuezhi Cao, Fuzheng Zhang and Zhongyuan Wang"
2020-11-16,gather,22:00,00:00,Gather Session 1D,Gather Session 1D: Information Extraction,1D,Information Extraction,158, Double Graph Based Reasoning for Document-level Relation Extraction ,"Shuang Zeng, Runxin Xu, Baobao Chang and Lei Li"
2020-11-16,gather,22:00,00:00,Gather Session 1D,Gather Session 1D: Information Extraction,1D,Information Extraction,1977, Event Extraction as Machine Reading Comprehension ,"Jian Liu, Yubo Chen, Kang Liu, Wei Bi and Xiaojiang Liu"
2020-11-16,gather,22:00,00:00,Gather Session 1D,Gather Session 1D: Information Extraction,1D,Information Extraction,2048, MAVEN: A Massive General Domain Event Detection Dataset ,"Xiaozhi Wang, Ziqi Wang, Xu Han, Wangyi Jiang, Rong Han, Zhiyuan Liu, Juanzi Li, Peng Li, Yankai Lin and Jie Zhou"
2020-11-16,gather,22:00,00:00,Gather Session 1D,Gather Session 1D: Information Extraction,1D,Information Extraction,2877, Knowledge Graph Alignment with Entity-Pair Embedding ,"Zhichun Wang, Jinjian Yang and Xiaoju Ye"
2020-11-16,gather,22:00,00:00,Gather Session 1D,Gather Session 1D: Information Extraction,1D,Information Extraction,300, Adaptive Attentional Network for Few-Shot Knowledge Graph Completion ,"Jiawei Sheng, Shu Guo, Zhenyu Chen, Juwei Yue, Lihong Wang, Tingwen Liu and Hongbo Xu"
2020-11-16,gather,22:00,00:00,Gather Session 1D,Gather Session 1D: Information Extraction,1D,Information Extraction,3022, Pre-training Entity Relation Encoder with Intra-span and Inter-span Information ,"Yijun Wang, Changzhi Sun, Yuanbin Wu, Junchi Yan, Peng Gao and Guotong Xie"
2020-11-16,gather,22:00,00:00,Gather Session 1D,Gather Session 1D: Information Extraction,1D,Information Extraction,3287, Two are Better than One: Joint Entity and Relation Extraction with Table-Sequence Encoders ,Jue WANG and Wei Lu
2020-11-16,gather,22:00,00:00,Gather Session 1E,Gather Session 1E: Dialog and Interactive Systems,1E,Dialog and Interactive Systems,1009, BiST: Bi-directional Spatio-Temporal Reasoning for Video-Grounded Dialogues ,"Hung Le, Doyen Sahoo, Nancy Chen and Steven C.H. Hoi"
