submissionID,title,authors,track,acceptanceStatus,submissionType
3186,Inquisitive Question Generation for High Level Text Comprehension,"Wei-Jen Ko, TE-YUAN CHEN, Yiyan Huang, Greg Durrett and Junyi Jessy Li",Language Generation,Accept,Long Paper
2612,INSPIRED: Toward Sociable Recommendation Dialog Systems,"Shirley Anugrah Hayati, Dongyeop Kang, Qingxiaoyang Zhu, Weiyan Shi and Zhou Yu",Dialog and Interactive Systems,Accept,Long Paper
2574,Interactive Fiction Game Playing as Multi-Paragraph Reading Comprehension with Reinforcement Learning,"Xiaoxiao Guo, Mo Yu, Yupeng Gao, Chuang Gan, Murray Campbell and Shiyu Chang",Machine Learning for NLP,Accept,Long Paper
585,Interactive Refinement of Cross-Lingual Word Embeddings,"Michelle Yuan, Mozhi Zhang, Benjamin Van Durme, Leah Findlater and Jordan Boyd-Graber",Machine Translation and Multilinguality,Accept,Long Paper
3648,Interpretable Multi-dataset Evaluation for Named Entity Recognition,"Jinlan Fu, Pengfei Liu and Graham Neubig","Syntax: Tagging, Chunking, and Parsing",Accept,Long Paper
1612,Interpretation of NLP models through input marginalization,"Siwon Kim, Jihun Yi, Eunji Kim and Sungroh Yoon",Interpretability and Analysis of Models for NLP,Accept,Long Paper
2112,Interpreting Open-Domain Modifiers: Decomposition of Wikipedia Categories into Disambiguated Property-Value Pairs,Marius Pasca,Semantics: Lexical Semantics,Accept,Long Paper
2444,Interview: Large-scale Modeling of Media Dialog with Discourse Patterns and Knowledge Grounding,"Bodhisattwa Prasad Majumder, Shuyang Li, Jianmo Ni and Julian McAuley",Dialog and Interactive Systems,Accept,Long Paper
675,Intrinsic Evaluation of Summarization Datasets,Rishi Bommasani and Claire Cardie,Summarization,Accept,Long Paper
2122,Intrinsic Probing through Dimension Selection,"Lucas Torroba Hennigen, Adina Williams and Ryan Cotterell",Interpretability and Analysis of Models for NLP,Accept,Long Paper
3375,Introducing Syntactic Structures into Target Opinion Word Extraction with Deep Learning,"Amir Pouran Ben Veyseh, Nasim Nouri, Franck Dernoncourt, Dejing Dou and Thien Huu Nguyen","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
1282,Investigating Cross-Linguistic Adjective Ordering Tendencies with a Latent-Variable Model,"Jun Yen Leung, Guy Emerson and Ryan Cotterell","Linguistic Theories, Cognitive Modeling and Psycholinguistics",Accept,Long Paper
3115,Investigating Lexical Variability in Language Models,"Charles Yu, Ryan Sie, Nicolas Tedeschi and Leon Bergen",Multidisciplinary and AC COI,Accept,Long Paper
3656,Is Chinese Word Segmentation a Solved Task? Rethinking Neural Chinese Word Segmentation,"Jinlan Fu, Pengfei Liu, Qi Zhang and Xuanjing Huang","Phonology, Morphology and Word Segmentation",Accept,Long Paper
3035,Is Multihop QA in DiRe Condition? Measuring and Reducing Disconnected Reasoning,"Harsh Trivedi, Niranjan Balasubramanian, Tushar Khot and Ashish Sabharwal",Question Answering,Accept,Long Paper
2120,ISAAQ - Mastering Textbook Questions with Pre-trained Transformers and Bottom-Up and Top-Down Attention,Jose Manuel Gomez-Perez and Raúl Ortega,Question Answering,Accept,Long Paper
1100,Iterative Domain-Repaired Back-Translation,"Hao-Ran Wei, Zhirui Zhang, Boxing Chen and Weihua Luo",Machine Translation and Multilinguality,Accept,Long Paper
2991,Iterative Language-Based Image Editing via Self-Supervised Counterfactual Reasoning,"Tsu-Jui Fu, Xin Wang, Scott Grafton, Miguel Eckstein and William Yang Wang","Language Grounding to Vision, Robotics and Beyond",Accept,Long Paper
1432,Iterative Refinement in the Continuous Space for Non-Autoregressive Neural Machine Translation,"Jason Lee, Raphael Shu and Kyunghyun Cho",Machine Translation and Multilinguality,Accept,Long Paper
1116,Joint Constrained Learning for Event-Event Relation Extraction,"Haoyu Wang, Muhao Chen, Hongming Zhang and Dan Roth",Information Extraction,Accept,Long Paper
851,Joint Estimation and Analysis of Risk Behavior Ratings in Movie Scripts,"Victor Martinez, Krishna Somandepalli, Yalda Tehranian-Uhls and Shrikanth Narayanan",NLP Applications,Accept,Long Paper
1578,Keep CALM and Explore: Language Models for Action Generation in Text-based Games,"Shunyu Yao, Rohan Rao, Matthew Hausknecht and Karthik Narasimhan","Language Grounding to Vision, Robotics and Beyond",Accept,Long Paper
3072,Keeping Up Appearances: Computational Modeling of Face Acts in Persuasion Oriented Discussions,"Ritam Dutt, Rishabh Joshi and Carolyn Rose",Discourse and Pragmatics:Best Paper Candidates,Accept,Long Paper
1210,KERMIT: Complementing Transformer Architectures with Encoders of Explicit Syntactic Interpretations,"Fabio Massimo Zanzotto, Andrea Santilli, Leonardo Ranaldi, Dario Onorati, Pierfrancesco Tommasino and Francesca Fallucchi",Machine Learning for NLP,Accept,Long Paper
1482,KGLM: Pretrained Knowledge-Grounded Language Model for Data-to-Text Generation,"Wenhu Chen, Yu Su, Xifeng Yan and William Yang Wang",Language Generation,Accept,Long Paper
1011,Knowledge Association with Hyperbolic Knowledge Graph Embeddings,"Zequn Sun, Muhao Chen, Wei Hu, Chengming Wang, Jian Dai and Wei Zhang",Information Extraction,Accept,Long Paper
2877,Knowledge Graph Alignment with Entity-Pair Embedding,"Zhichun Wang, Jinjian Yang and Xiaoju Ye",Information Extraction,Accept,Long Paper
1706,Knowledge Graph Empowered Entity Description Generation,"Liying Cheng, Dekun Wu, Lidong Bing, Yan Zhang, Zhanming Jie, Wei Lu and Luo Si",Language Generation,Accept,Long Paper
1006,Knowledge-Grounded Dialogue Generation with Pre-trained Language Models,"Xueliang Zhao, wei wu, Can Xu, Chongyang Tao, Dongyan Zhao and Rui Yan",Dialog and Interactive Systems,Accept,Long Paper
2426,Knowledge-guided Open Attribute Value Extraction with Reinforcement Learning,"Ye Liu, Sheng Zhang, Rui Song, Suo Feng and Yanghua Xiao",Information Extraction,Accept,Long Paper
923,Language Generation with Multi-hop Reasoning on Commonsense Knowledge Graph,"Haozhe Ji, Pei Ke, Shaohan Huang, Furu Wei, Xiaoyan Zhu and Minlie Huang",Language Generation,Accept,Long Paper
522,Language Model Prior for Low-Resource Neural Machine Translation,"Christos Baziotis, Barry Haddow and Alexandra Birch",Machine Translation and Multilinguality,Accept,Long Paper
2278,LAReQA: Language-agnostic answer retrieval from a multilingual pool,"Uma Roy, Noah Constant, Rami Al-Rfou, Aditya Barua, Aaron Phillips and Yinfei Yang",Machine Translation and Multilinguality,Accept,Long Paper
1832,Latent Geographical Factors for Analyzing the Evolution of Dialects in Contact,Yugo Murawaki,"Linguistic Theories, Cognitive Modeling and Psycholinguistics",Accept,Long Paper
400,Learn to Cross-lingual Transfer with Meta Graph Learning Across Heterogeneous Languages,"Zheng Li, Mukul Kumar, William Headden, Bing Yin, Ying Wei, Yu Zhang and Qiang Yang",Machine Translation and Multilinguality,Accept,Long Paper
2337,Learning a Cost-Effective Annotation Policy for Question Answering,"Bernhard Kratzwald, Stefan Feuerriegel and Huan Sun",Question Answering,Accept,Long Paper
699,Learning a Simple and Effective Model for Multi-turn Response Generation with Auxiliary Tasks,"YUFAN ZHAO, Can Xu and wei wu",Dialog and Interactive Systems,Accept,Long Paper
3236,Learning Adaptive Segmentation Policy for Simultaneous Translation,"Ruiqing Zhang, Chuanqiang Zhang, Zhongjun He, Hua Wu and Haifeng Wang",Machine Translation and Multilinguality,Accept,Long Paper
2040,Learning Explainable Linguistic Expressions with Neural Inductive Logic Programming for Sentence Classification,"Prithviraj Sen, Marina Danilevsky, Yunyao Li, Siddhartha Brahma, Matthias Boehm, Laura Chiticariu and Rajasekar Krishnamurthy",Interpretability and Analysis of Models for NLP,Accept,Long Paper
1159,Learning from Context or Names? An Empirical Study on Neural Relation Extraction,"Hao Peng, Tianyu Gao, Xu Han, Yankai Lin, Peng Li, Zhiyuan Liu, Maosong Sun and Jie Zhou",Information Extraction,Accept,Long Paper
3470,Learning from Task Descriptions,"Orion Weller, Nicholas Lourie, Matt Gardner and Matthew Peters",Machine Learning for NLP,Accept,Long Paper
2893,Learning Helpful Inductive Biases from Self-Supervised Pretraining,"Alex Warstadt, Yian Zhang, Xiaocheng Li, Haokun Liu and Samuel R. Bowman",Interpretability and Analysis of Models for NLP,Accept,Long Paper
1613,Learning Music Helps You Read: Using Transfer to Study Linguistic Structure in Language Models,Isabel Papadimitriou and Dan Jurafsky,Interpretability and Analysis of Models for NLP,Accept,Long Paper
2228,Learning to Explain: Datasets and Models for Identifying Valid Reasoning Chains in Multihop Question-Answering,Harsh Jhamtani and Peter Clark,Question Answering,Accept,Long Paper
2208,Learning to Pronounce Chinese Without a Pronunciation Dictionary,"Christopher Chu, Scot Fang and Kevin Knight","Phonology, Morphology and Word Segmentation",Accept,Long Paper
1071,Learning to Represent Image and Text with Denotation Graphs,"Bowen Zhang, Hexiang Hu, Vihan Jain, Eugene Ie and Fei Sha","Language Grounding to Vision, Robotics and Beyond",Accept,Long Paper
2865,Learning VAE-LDA Models with Rounded Reparameterization Trick,"Runzhi Tian, Yongyi Mao and Richong Zhang",Machine Learning for NLP,Accept,Long Paper
